lines	15892
Files	6
BTB 02399	['n1(c(nc2c(c1=O)cccc2)S)NC(=O)c1cnccc1']	-7.138	-5.546	-6.621	-8.56	-5.279	-5.602
RF 04154	['n1c(c2c(C(F)(F)F)cc[nH+]c2)noc1c1ccccc1']	-7.64	-6.122	-7.435	-8.413	-5.41	-5.599
CD 09023	['C(=O)(N([C@H](C(=O)OCC)C)Cc1ccccc1)Nc1ccc(Cl)cc1']	-5.948	-5.957	-7.622	-6.848	-4.169	-4.306
BTB 12453	['S(=O)(=O)(c1cc2c(c3c(C2)cc(S(=O)(=O)OCCC(C)C)cc3)cc1)OCCC(C)C']	-6.464	-6.307	-6.036	-6.5	-3.607	-4.534
HTS 07099	['c1(C(=O)N2CCC(C(=O)[O-])CC2)cc2c(nsn2)cc1']	-6.366	-5.265	-4.99	-6.921	-6.142	-5.354
HTS 13253	['C1(=Cc2c(nn(c2)c2ccccc2)c2sccc2)C(=O)N(C(=O)N(C1=O)C)C']	-4.347	-6.842	-5.21	-5.822	-5.627	-5.229
HTS 13251	['C1(=Cc2c(CC1)cccc2)[NH+]1CC[C@@H](Cc2ccccc2)CC1']	-6.793	-4.897	-7.653	-7.63	-4.99	-5.492
S 07583	['C([C@H](NC(=O)Cc1c2c(ccc1)cccc2)C(=O)[O-])C(=O)[O-]']	-6.139	-5.377	-6.989	-6.513	-4.605	-4.113
NRB 02689	['c1(cc(=S)c2c(o1)cccc2)c1ccccc1']	-6.858	-6.854	-6.771	-7.981	-4.939	-6.203
RJC 00027	['C\\1(=N\\C(=N)N)/NC(=O)CS1']	-5.698	-4.664	-5.622	-6.595	-5.287	-5.528
RJC 00021	['n1(c(=S)[nH]nc1C)/N=C\\c1cc(c(c(c1)OC)OC)OC']	-6.352	-6.222	-5.903	-6.654	-4.22	-4.707
KM 01806	['C(=C\\Nc1noc(c1)C)(/C(=O)c1sccc1)\\C#N']	-6.76	-5.962	-5.699	-7.564	-5.502	-4.847
RJC 02873	['c1(n2c(nc1c1ccccc1)cccc2)Sc1c(C(=O)OC)cccc1']	-5.757	-5.638	-6.047	-8.479	-3.798	-5.576
KM 01804	['C(=C\\Nc1noc(c1)C)(/C(=O)c1ccc(cc1)Cl)\\C#N']	-7.187	-6.143	-5.976	-7.559	-5.646	-4.931
SEW 05144	['c1(NC(=O)C[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)c(F)cccc1F']	-6.031	-5.956	-6.67	-6.208	-3.778	-4.707
