lines	15882
Files	2
BTB 02399	['n1(c(nc2c(c1=O)cccc2)S)NC(=O)c1cnccc1']	-46.335	-41.646
RF 04154	['n1c(c2c(C(F)(F)F)cc[nH+]c2)noc1c1ccccc1']	-36.789	-33.247
CD 09023	['C(=O)(N([C@H](C(=O)OCC)C)Cc1ccccc1)Nc1ccc(Cl)cc1']	-47.259	-42.107
BTB 12453	['S(=O)(=O)(c1cc2c(c3c(C2)cc(S(=O)(=O)OCCC(C)C)cc3)cc1)OCCC(C)C']	-49.508	-46.787
HTS 07099	['c1(C(=O)N2CCC(C(=O)[O-])CC2)cc2c(nsn2)cc1']	-39.729	-36.488
HTS 13253	['C1(=Cc2c(nn(c2)c2ccccc2)c2sccc2)C(=O)N(C(=O)N(C1=O)C)C']	-20.297	-48.687
HTS 13251	['C1(=Cc2c(CC1)cccc2)[NH+]1CC[C@@H](Cc2ccccc2)CC1']	-38.584	-33.897
S 07583	['C([C@H](NC(=O)Cc1c2c(ccc1)cccc2)C(=O)[O-])C(=O)[O-]']	-41.247	-36.263
NRB 02689	['c1(cc(=S)c2c(o1)cccc2)c1ccccc1']	-37.346	-33.051
RJC 00027	['C\\1(=N\\C(=N)N)/NC(=O)CS1']	-30.732	-30.565
RJC 00021	['n1(c(=S)[nH]nc1C)/N=C\\c1cc(c(c(c1)OC)OC)OC']	-32.617	-36.761
KM 01806	['C(=C\\Nc1noc(c1)C)(/C(=O)c1sccc1)\\C#N']	-41.172	-37.281
RJC 02873	['c1(n2c(nc1c1ccccc1)cccc2)Sc1c(C(=O)OC)cccc1']	-39.419	-38.39
KM 01804	['C(=C\\Nc1noc(c1)C)(/C(=O)c1ccc(cc1)Cl)\\C#N']	-43.766	-36.131
SEW 05144	['c1(NC(=O)C[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)c(F)cccc1F']	-30.508	-29.117
SEW 05146	['C(=S)(Nc1c(cc(C(F)(F)F)cc1)Cl)N1CCSCC1']	-36.845	-39.09
RJC 02878	['C1(=O)[C@@H]2C[C@H](C(=O)[O-])C[C@@H]1CC=C2']	-21.356	-19.19
RJF 01866	['c1(nn(nn1)CC(=O)NNS(=O)(=O)C)c1c(C(F)(F)F)cccc1']	-50.759	-47.128
CD 03335	['n1c(scc1c1cc([N+](=O)[O-])ccc1)NNC(=O)c1c(Cl)cccc1']	-48.004	-46.742
RJC 01992	['C(=O)(N[C@H](C(=O)N[C@@H](C(=O)[O-])Cc1ccccc1)C)OC(C)(C)C']	-38.952	-36.196
XBX 00236	['n1(c(=O)ccc(c1)Cl)CC(=O)OCC']	-32.112	-31.018
SPB 08323	['C(=O)(N1CC[NH+](c2ccc(C#N)cc2)CC1)c1sccc1']	-39.177	-36.779
KM 05130	['S1(=O)(=O)/C(=C/N=[S@@](=O)(c2ccc(cc2)Cl)C)/C(=O)c2c(N1C)ccs2']	-42.944	-37.183
KM 09447	['c1(C(=O)N/N=C/c2ccccc2)cc(C#CCCCC)cnc1']	-33.984	-38.704
KM 09446	['S(=O)(=O)(c1c2c(non2)ccc1)N(Cc1occc1)CCC#N']	-48.627	-40.005
KM 09445	['S(=O)(=O)(c1sc(cc1)c1nc(ncc1)SC)N(Cc1occc1)CCC#N']	-59.409	-48.737
KM 09442	['n1(c(=O)c(c(nc1N)C)C)C']	-27.987	-25.38
RDR 02117	['C(=[NH2+])(Nc1cc(c(cc1C)C)C)NN']	-29.955	-27.847
KM 09440	['[C@@]1(C(F)(F)F)(CC(=NO1)c1sccc1)O']	-30.932	-26.854
KM 08712	['N12C(=O)NC(=O)[C@@H]1CSC2']	-25.91	-24.931
KM 08714	['N(C(=O)/C(=N/Nc1ccccc1)/C#N)C(=O)OCC']	-36.59	-39.118
HTS 04777	['c1(c(c(nn1C)C(F)(F)F)c1ccccc1)NS(=O)(=O)C']	-36.478	-34.975
BTB 02580	['c1(c(cc(cc1OC)CCC(=O)NNC(=S)Nc1ccc(F)cc1)OC)OC']	-52.598	-50.175
RDR 01132	['S(=O)(=O)(NNC(=S)Nc1cc(c(cc1OC)Cl)OC)c1ccc(cc1)C']	-51.95	-42.313
RDR 01646	['c1(c(cc(cc1OC)CCC(=O)[O-])OC)OC']	-32.155	-32.538
SPB 02982	['n1c(noc1C)c1ccc(Oc2ncc(C(F)(F)F)cc2)cc1']	-41.557	-40.144
RDR 01642	['C(=[NH+]\\c1c(F)cccc1)(/NC(=[NH2+])NN)\\N']	-37.016	-32.196
KM 07150	['S1(=O)(=O)N(c2c(c3c1cnc(n3)SCC(=O)C(C)(C)C)c(c(s2)C)C)C']	-45.773	-45.114
HTS 03595	['c1(c(C(=O)NCc2cc3c(OCO3)cc2)cccn1)Oc1ccccc1']	-42.977	-44.34
HTS 03594	['c1(c(n(nc1)c1ccccc1)CCC)C(=O)NCc1cc2c(OCO2)cc1']	-47.054	-46.053
HTS 03597	['C(Oc1ccc(C(=O)NCc2cc3c(OCO3)cc2)cc1)(F)(F)F']	-38.1	-41.436
HTS 03596	['c1(C(=O)NCc2cc3c(OCO3)cc2)c(ccs1)Br']	-42.178	-39.613
HTS 03591	['c12c3c(sc1nc[nH]c2=O)CC[N@H+](C3)Cc1ccccc1']	-42.921	-37.769
RH 01530	['C(=O)(N1CCC(c2c(OC)cccc2)CC1)c1ccc(cc1)OC']	-43.813	-37.074
RH 01533	['C(C(=O)[O-])[C@H](c1ccccc1)[NH3+]']	-24.153	-21.884
RH 01532	['c1(C(=O)NNC(=O)CSCc2c3c(ccc2)cccc3)c(Cl)cccc1']	-45.267	-45.685
HTS 03599	['C(=O)(c1c(Oc2ccccc2)[nH+]ccc1)Oc1c(cccc1)[NH+]1CCOCC1']	-42.955	-42.756
AW 00231	['N1(c2c(C(F)(F)F)ccc[nH+]2)C(=S)NCC1']	-34.626	-29.422
GK 00384	['C(=O)(NC(=O)Nc1nn(cc1)C)c1c(F)cccc1F']	-37.968	-43.713
KM 03891	['C1(=CC(=S)SC(C1)(C)C)[NH+]1CCCCC1']	-33.418	-29.923
GK 00380	['c1(c(NC(=O)NC(=O)c2c(Cl)cccc2Cl)ccs1)C(=O)OC']	-21.278	-43.006
