lines	15892
Files	6
RDR 01646	['c1(c(cc(cc1OC)CCC(=O)[O-])OC)OC']	-32.155	-32.538	-31.538	-37.603	-33.192	-35.118
SPB 02982	['n1c(noc1C)c1ccc(Oc2ccc(C(F)(F)F)c[nH+]2)cc1']	-41.557	-40.144	-37.065	-41.08	-35.354	-31.318
RDR 01642	['C(=[NH+]\\c1c(F)cccc1)(/NC(=[NH2+])NN)\\N']	-37.016	-32.196	-32.531	-34.246	-26.543	-25.483
KM 07150	['S1(=O)(=O)N(c2c(c3c1cnc(n3)SCC(=O)C(C)(C)C)c(c(s2)C)C)C']	-45.773	-45.114	-44.213	-28.078	-26.012	-37.476
HTS 03595	['c1(c(C(=O)NCc2cc3c(OCO3)cc2)cccn1)Oc1ccccc1']	-42.977	-44.34	-50.44	-51.45	-37.884	-44.829
HTS 03594	['c1(c(n(nc1)c1ccccc1)CCC)C(=O)NCc1cc2c(OCO2)cc1']	-47.054	-46.053	-49.213	-46.491	-33.503	-38.329
HTS 03597	['C(Oc1ccc(C(=O)NCc2cc3c(OCO3)cc2)cc1)(F)(F)F']	-38.1	-41.436	-43.524	-48.852	-40.987	-39.613
HTS 03596	['c1(C(=O)NCc2cc3c(OCO3)cc2)c(ccs1)Br']	-42.178	-39.613	-40.3	-47.748	-38.287	-36.853
HTS 03591	['c12c3c(sc1nc[nH]c2=O)CC[N@H+](C3)Cc1ccccc1']	-42.921	-37.769	-40.095	-42.623	-28.822	-34.262
RH 01530	['C(=O)(N1CCC(c2c(OC)cccc2)CC1)c1ccc(cc1)OC']	-43.813	-37.074	-36.806	-36.726	-28.576	-36.481
RH 01533	['C(C(=O)[O-])[C@@H](c1ccccc1)[NH3+]']	-24.153	-21.884	-23.335	-25.398	-18.119	-18.538
RH 01532	['c1(C(=O)NNC(=O)CSCc2c3c(ccc2)cccc3)c(Cl)cccc1']	-45.267	-45.685	-55.093	-48.416	-42.112	-42.428
HTS 03599	['C(=O)(c1c(Oc2ccccc2)nccc1)Oc1c(N2CCOCC2)cccc1']	-42.955	-42.756	-48.425	-38.087	-29.043	-36.909
AW 00231	['N1(c2c(C(F)(F)F)ccc[nH+]2)C(=S)NCC1']	-34.626	-29.422	-26.985	-33.878	-21.498	-27.736
GK 00384	['C(=O)(NC(=O)Nc1nn(cc1)C)c1c(F)cccc1F']	-37.968	-43.713	-45.565	-43.011	-30.977	-35.576
KM 03891	['C1(=CC(=S)SC(C1)(C)C)[NH+]1CCCCC1']	-33.418	-29.923	-26.863	-33.085	-22.872	-25.866
GK 00380	['c1(c(NC(=O)NC(=O)c2c(Cl)cccc2Cl)ccs1)C(=O)OC']	-21.278	-43.006	-49.656	-48.863	-31.198	-41.229
SCR 01179	['S(=O)(=O)(c1c[nH+]c(N2CCOCC2)cc1)NCc1c(noc1C)c1ccccc1']	-45.973	-44.464	-46.218	-41.11	-36.29	-43.599
SCR 01176	['S(=O)(=O)(c1cnc(N2CCOCC2)cc1)NCc1nc(sc1)c1sccc1']	-43.263	-45.196	-45.903	-53.325	-43.688	-38.68
XBX 00093	['c1([C@H](c2ccccc2)[NH3+])c2c(ccc1O)cccc2']	-40.114	-33.715	-36.805	-37.548	-24.205	-24.896
BTB 03180	['c1(oc2c(c1)cc(cc2)Cl)C(=O)CNc1cc(C(F)(F)F)cc(C(F)(F)F)c1']	-46.247	-37.065	-45.535	-41.384	-35.625	-36.435
HTS 01575	['n1c(cc(n1C(C)(C)C)C)C(=O)NNC(=O)c1c(C)[nH+]c(C(F)(F)F)cc1']	-40.004	-33.104	-49.148	-38.765	-31.648	-31.297
S 06326	['C(=S)(Nc1c(cc(cc1)F)C)N/N=C/c1sccc1']	-41.864	-35.456	-38.948	-45.163	-36.321	-36.51
HTS 10698	['c1(C(=O)NCc2occc2)cscc1']	-35.878	-33.475	-35.03	-35.973	-29.084	-31.702
HTS 01576	['n1c(cc(n1C(C)(C)C)C)C(=O)NNC(=O)C1CCN(c2nc(C(F)(F)F)ccn2)CC1']	-46.922	-35.685	-54.655	-36.587	-28.465	-33.781
