lines	3
Files	3
JFD 03178	['N1(C(=O)OCc2ccccc2)[C@H](C(=O)N[C@H](C(=O)OC)Cc2c[nH]c3c2cccc3)CCC1']	-300	-3	-3
BTB 00337	['n1(c(n[nH]c1=S)c1c[nH+]ccc1)c1cc(OC)ccc1']	100	-1	-1
HTS 07396	['n1(c(=O)oc2c1cc(cc2)C)CCc1nc(c2c(C)[nH+]c(C(F)(F)F)cc2)on1']	-200	-2	-2
